date,dswr,frbd,gzbd,gali,source_url,year,month,day,Gali1,GALI1
2015-01-01,,,42,91,https://satta-king-fast.com/chart.php?ResultFor=January-2015&month=01&year=2015,2015,1,1,24,24
2015-01-02,93,27,01,39,https://satta-king-fast.com/chart.php?ResultFor=January-2015&month=01&year=2015,2015,1,2,56,56
2015-01-03,28,89,61,94,https://satta-king-fast.com/chart.php?ResultFor=January-2015&month=01&year=2015,2015,1,3,17,17
2015-01-04,78,07,30,01,https://satta-king-fast.com/chart.php?ResultFor=January-2015&month=01&year=2015,2015,1,4,37,37
2015-01-05,24,74,04,93,https://satta-king-fast.com/chart.php?ResultFor=January-2015&month=01&year=2015,2015,1,5,41,41
2015-01-06,12,93,92,42,https://satta-king-fast.com/chart.php?ResultFor=January-2015&month=01&year=2015,2015,1,6,37,37
2015-01-07,93,81,60,44,https://satta-king-fast.com/chart.php?ResultFor=January-2015&month=01&year=2015,2015,1,7,10,10
2015-01-08,68,77,52,60,https://satta-king-fast.com/chart.php?ResultFor=January-2015&month=01&year=2015,2015,1,8,85,85
2015-01-09,94,50,65,19,https://satta-king-fast.com/chart.php?ResultFor=January-2015&month=01&year=2015,2015,1,9,89,89
2015-01-10,24,80,96,66,https://satta-king-fast.com/chart.php?ResultFor=January-2015&month=01&year=2015,2015,1,10,16,16
2015-01-11,83,67,34,30,https://satta-king-fast.com/chart.php?ResultFor=January-2015&month=01&year=2015,2015,1,11,04,04
2015-01-12,30,50,61,88,https://satta-king-fast.com/chart.php?ResultFor=January-2015&month=01&year=2015,2015,1,12,15,15
2015-01-13,40,93,69,66,https://satta-king-fast.com/chart.php?ResultFor=January-2015&month=01&year=2015,2015,1,13,51,51
2015-01-14,47,04,47,18,https://satta-king-fast.com/chart.php?ResultFor=January-2015&month=01&year=2015,2015,1,14,13,13
2015-01-15,43,63,87,44,https://satta-king-fast.com/chart.php?ResultFor=January-2015&month=01&year=2015,2015,1,15,76,76
2015-01-16,42,82,70,17,https://satta-king-fast.com/chart.php?ResultFor=January-2015&month=01&year=2015,2015,1,16,43,43
2015-01-17,57,67,04,86,https://satta-king-fast.com/chart.php?ResultFor=January-2015&month=01&year=2015,2015,1,17,69,69
2015-01-18,67,01,69,62,https://satta-king-fast.com/chart.php?ResultFor=January-2015&month=01&year=2015,2015,1,18,59,59
2015-01-19,50,32,69,57,https://satta-king-fast.com/chart.php?ResultFor=January-2015&month=01&year=2015,2015,1,19,63,63
2015-01-20,87,71,65,93,https://satta-king-fast.com/chart.php?ResultFor=January-2015&month=01&year=2015,2015,1,20,53,53
2015-01-21,17,19,25,62,https://satta-king-fast.com/chart.php?ResultFor=January-2015&month=01&year=2015,2015,1,21,47,47
2015-01-22,75,25,01,61,https://satta-king-fast.com/chart.php?ResultFor=January-2015&month=01&year=2015,2015,1,22,95,95
2015-01-23,04,54,27,81,https://satta-king-fast.com/chart.php?ResultFor=January-2015&month=01&year=2015,2015,1,23,26,26
2015-01-24,62,17,35,60,https://satta-king-fast.com/chart.php?ResultFor=January-2015&month=01&year=2015,2015,1,24,36,36
2015-01-25,15,28,19,56,https://satta-king-fast.com/chart.php?ResultFor=January-2015&month=01&year=2015,2015,1,25,94,94
2015-01-26,08,00,90,57,https://satta-king-fast.com/chart.php?ResultFor=January-2015&month=01&year=2015,2015,1,26,89,89
2015-01-27,57,30,85,99,https://satta-king-fast.com/chart.php?ResultFor=January-2015&month=01&year=2015,2015,1,27,84,84
2015-01-28,38,87,65,35,https://satta-king-fast.com/chart.php?ResultFor=January-2015&month=01&year=2015,2015,1,28,00,00
2015-01-29,35,77,92,98,https://satta-king-fast.com/chart.php?ResultFor=January-2015&month=01&year=2015,2015,1,29,30,30
2015-01-30,42,36,75,56,https://satta-king-fast.com/chart.php?ResultFor=January-2015&month=01&year=2015,2015,1,30,80,80
2015-01-31,74,91,,,https://satta-king-fast.com/chart.php?ResultFor=January-2015&month=01&year=2015,2015,1,31,78,78
2015-02-01,,,61,90,https://satta-king-fast.com/chart.php?ResultFor=February-2015&month=02&year=2015,2015,2,1,09,09
2015-02-02,67,18,23,37,https://satta-king-fast.com/chart.php?ResultFor=February-2015&month=02&year=2015,2015,2,2,90,90
2015-02-03,40,49,80,02,https://satta-king-fast.com/chart.php?ResultFor=February-2015&month=02&year=2015,2015,2,3,79,79
2015-02-04,81,23,72,99,https://satta-king-fast.com/chart.php?ResultFor=February-2015&month=02&year=2015,2015,2,4,60,60
2015-02-05,81,24,49,16,https://satta-king-fast.com/chart.php?ResultFor=February-2015&month=02&year=2015,2015,2,5,19,19
2015-02-06,51,33,77,88,https://satta-king-fast.com/chart.php?ResultFor=February-2015&month=02&year=2015,2015,2,6,55,55
2015-02-07,98,56,09,83,https://satta-king-fast.com/chart.php?ResultFor=February-2015&month=02&year=2015,2015,2,7,22,22
2015-02-08,12,36,39,34,https://satta-king-fast.com/chart.php?ResultFor=February-2015&month=02&year=2015,2015,2,8,61,61
2015-02-09,57,54,22,70,https://satta-king-fast.com/chart.php?ResultFor=February-2015&month=02&year=2015,2015,2,9,45,45
2015-02-10,47,64,97,89,https://satta-king-fast.com/chart.php?ResultFor=February-2015&month=02&year=2015,2015,2,10,74,74
2015-02-11,75,32,89,92,https://satta-king-fast.com/chart.php?ResultFor=February-2015&month=02&year=2015,2015,2,11,06,06
2015-02-12,49,15,22,18,https://satta-king-fast.com/chart.php?ResultFor=February-2015&month=02&year=2015,2015,2,12,23,23
2015-02-13,97,21,84,02,https://satta-king-fast.com/chart.php?ResultFor=February-2015&month=02&year=2015,2015,2,13,08,08
2015-02-14,51,17,96,25,https://satta-king-fast.com/chart.php?ResultFor=February-2015&month=02&year=2015,2015,2,14,81,81
2015-02-15,54,44,52,54,https://satta-king-fast.com/chart.php?ResultFor=February-2015&month=02&year=2015,2015,2,15,99,99
2015-02-16,38,20,59,20,https://satta-king-fast.com/chart.php?ResultFor=February-2015&month=02&year=2015,2015,2,16,22,22
2015-02-17,06,51,84,90,https://satta-king-fast.com/chart.php?ResultFor=February-2015&month=02&year=2015,2015,2,17,22,22
2015-02-18,54,70,03,54,https://satta-king-fast.com/chart.php?ResultFor=February-2015&month=02&year=2015,2015,2,18,98,98
2015-02-19,94,56,00,39,https://satta-king-fast.com/chart.php?ResultFor=February-2015&month=02&year=2015,2015,2,19,79,79
2015-02-20,66,32,26,00,https://satta-king-fast.com/chart.php?ResultFor=February-2015&month=02&year=2015,2015,2,20,25,25
2015-02-21,03,83,19,89,https://satta-king-fast.com/chart.php?ResultFor=February-2015&month=02&year=2015,2015,2,21,21,21
2015-02-22,80,31,62,44,https://satta-king-fast.com/chart.php?ResultFor=February-2015&month=02&year=2015,2015,2,22,88,88
2015-02-23,87,37,28,12,https://satta-king-fast.com/chart.php?ResultFor=February-2015&month=02&year=2015,2015,2,23,41,41
2015-02-24,93,60,64,83,https://satta-king-fast.com/chart.php?ResultFor=February-2015&month=02&year=2015,2015,2,24,10,10
2015-02-25,39,37,03,77,https://satta-king-fast.com/chart.php?ResultFor=February-2015&month=02&year=2015,2015,2,25,63,63
2015-02-26,47,29,74,29,https://satta-king-fast.com/chart.php?ResultFor=February-2015&month=02&year=2015,2015,2,26,12,12
2015-02-27,63,60,17,69,https://satta-king-fast.com/chart.php?ResultFor=February-2015&month=02&year=2015,2015,2,27,19,19
2015-02-28,30,49,,,https://satta-king-fast.com/chart.php?ResultFor=February-2015&month=02&year=2015,2015,2,28,84,84
2015-03-01,,,75,55,https://satta-king-fast.com/chart.php?ResultFor=March-2015&month=03&year=2015,2015,3,1,65,65
2015-03-02,29,38,66,37,https://satta-king-fast.com/chart.php?ResultFor=March-2015&month=03&year=2015,2015,3,2,38,38
2015-03-03,08,67,24,28,https://satta-king-fast.com/chart.php?ResultFor=March-2015&month=03&year=2015,2015,3,3,58,58
2015-03-04,13,67,66,23,https://satta-king-fast.com/chart.php?ResultFor=March-2015&month=03&year=2015,2015,3,4,74,74
2015-03-05,77,67,81,04,https://satta-king-fast.com/chart.php?ResultFor=March-2015&month=03&year=2015,2015,3,5,89,89
2015-03-06,21,64,91,74,https://satta-king-fast.com/chart.php?ResultFor=March-2015&month=03&year=2015,2015,3,6,18,18
2015-03-07,06,29,85,87,https://satta-king-fast.com/chart.php?ResultFor=March-2015&month=03&year=2015,2015,3,7,35,35
2015-03-08,04,73,59,48,https://satta-king-fast.com/chart.php?ResultFor=March-2015&month=03&year=2015,2015,3,8,64,64
2015-03-09,16,33,63,32,https://satta-king-fast.com/chart.php?ResultFor=March-2015&month=03&year=2015,2015,3,9,85,85
2015-03-10,37,53,61,00,https://satta-king-fast.com/chart.php?ResultFor=March-2015&month=03&year=2015,2015,3,10,18,18
2015-03-11,66,40,31,96,https://satta-king-fast.com/chart.php?ResultFor=March-2015&month=03&year=2015,2015,3,11,78,78
2015-03-12,68,12,05,36,https://satta-king-fast.com/chart.php?ResultFor=March-2015&month=03&year=2015,2015,3,12,20,20
