date,GALI2,DESAWAR2,FARIDABAD2,GHAZIABAD2,LUXMI KUBER
2015-01-01,24,16,48,17,81
2015-01-02,56,50,19,94,14
2015-01-03,17,50,67,36,03
2015-01-04,37,50,03,39,94
2015-01-05,41,58,05,49,35
2015-01-06,37,94,79,25,31
2015-01-07,10,89,46,77,28
2015-01-08,85,85,89,23,17
2015-01-09,89,65,40,68,94
2015-01-10,16,26,25,55,13
2015-01-11,04,60,36,75,86
2015-01-12,15,35,88,21,94
2015-01-13,51,09,00,10,69
2015-01-14,13,63,06,24,11
2015-01-15,76,89,98,34,75
2015-01-16,43,67,46,39,54
2015-01-17,69,54,26,43,04
2015-01-18,59,36,76,18,03
2015-01-19,63,18,23,65,11
2015-01-20,53,86,95,91,27
2015-01-21,47,69,19,56,29
2015-01-22,95,73,63,18,64
2015-01-23,26,04,68,30,77
2015-01-24,36,34,65,58,03
2015-01-25,94,31,52,47,71
2015-01-26,89,28,84,54,25
2015-01-27,84,90,41,78,91
2015-01-28,00,45,67,04,83
2015-01-29,30,85,48,79,89
2015-01-30,80,21,82,26,69
2015-01-31,78,25,15,69,53
2015-02-01,09,44,16,97,28
2015-02-02,90,62,82,84,57
2015-02-03,79,46,61,07,75
2015-02-04,60,17,24,22,35
2015-02-05,19,52,89,33,00
2015-02-06,55,70,99,14,97
2015-02-07,22,96,53,66,20
2015-02-08,61,74,82,36,89
2015-02-09,45,71,97,92,54
2015-02-10,74,41,42,69,43
2015-02-11,06,05,78,24,35
2015-02-12,23,38,19,85,19
2015-02-13,08,38,43,55,27
2015-02-14,81,96,46,82,97
2015-02-15,99,72,04,74,43
2015-02-16,22,53,23,37,13
2015-02-17,22,88,69,57,11
2015-02-18,98,66,91,01,48
2015-02-19,79,72,44,65,12
2015-02-20,25,76,89,83,45
2015-02-21,21,63,82,16,44
2015-02-22,88,54,09,48,77
2015-02-23,41,54,36,78,33
2015-02-24,10,23,35,42,05
2015-02-25,63,54,08,96,93
2015-02-26,12,82,73,42,58
2015-02-27,19,40,12,05,68
2015-02-28,84,67,08,97,15
2015-03-01,65,39,31,05,48
2015-03-02,38,88,32,17,10
2015-03-03,58,07,40,46,70
2015-03-04,74,19,19,68,37
2015-03-05,89,31,05,24,80
2015-03-06,18,19,48,14,79
2015-03-07,35,38,67,41,46
2015-03-08,64,98,39,65,73
2015-03-09,85,28,85,08,24
2015-03-10,18,25,67,77,90
2015-03-11,78,58,22,96,08
2015-03-12,20,40,57,58,05
2015-03-13,11,79,15,21,84
2015-03-14,49,85,70,26,29
2015-03-15,43,40,62,49,98
2015-03-16,86,43,74,48,37
2015-03-17,88,81,63,92,10
2015-03-18,77,82,03,53,29
2015-03-19,13,12,92,54,12
2015-03-20,83,22,29,31,48
2015-03-21,04,30,65,44,35
2015-03-22,45,13,37,31,58
2015-03-23,95,49,79,68,81
2015-03-24,59,98,86,83,46
2015-03-25,77,45,65,49,20
2015-03-26,60,15,90,96,47
2015-03-27,32,08,74,43,45
2015-03-28,53,74,43,85,26
2015-03-29,93,34,31,46,85
2015-03-30,26,66,89,61,34
2015-03-31,96,07,71,55,89
2015-04-01,95,70,18,07,87
2015-04-02,09,79,00,22,82
2015-04-03,38,01,80,33,09
2015-04-04,27,35,43,91,77
2015-04-05,87,71,32,43,81
2015-04-06,61,08,94,93,21
2015-04-07,45,16,94,40,68
2015-04-08,34,78,45,76,93
2015-04-09,01,22,04,13,31
2015-04-10,26,30,17,52,20
2015-04-11,06,68,57,36,59
2015-04-12,62,93,89,40,48
2015-04-13,43,07,58,95,34
2015-04-14,84,94,81,56,81
2015-04-15,07,66,95,74,88
2015-04-16,59,75,66,15,71
2015-04-17,44,86,77,50,28
2015-04-18,97,76,96,28,87
2015-04-19,28,17,35,86,41
2015-04-20,62,56,12,34,98
2015-04-21,19,78,20,65,99
2015-04-22,83,64,80,48,07
2015-04-23,42,49,26,24,29
2015-04-24,34,09,17,21,04
2015-04-25,76,37,16,22,40
2015-04-26,44,29,73,94,51
2015-04-27,08,87,85,08,34
2015-04-28,02,32,95,41,08
2015-04-29,32,11,98,57,27
2015-04-30,03,96,25,87,72
2015-05-01,30,14,23,81,91
2015-05-02,08,03,47,41,40
2015-05-03,68,05,48,33,27
2015-05-04,00,87,70,33,83
2015-05-05,48,88,51,15,63
2015-05-06,14,57,37,71,50
2015-05-07,36,03,00,43,82
2015-05-08,97,40,99,34,58
2015-05-09,23,37,53,71,18
2015-05-10,71,47,40,85,33
2015-05-11,07,04,10,45,17
2015-05-12,52,97,97,74,31
2015-05-13,75,20,19,25,95
2015-05-14,48,19,99,06,71
2015-05-15,84,43,29,62,68
2015-05-16,59,64,54,41,33
